Date,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,AQS Parameter Description,CBSA Name,State FIPS Code,State,County FIPS Code,County
11/7/2022,1,5.3,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/10/2022,1,6.7,ug/m3 LC,37,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/13/2022,1,2,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/16/2022,1,3.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/19/2022,1,6.2,ug/m3 LC,34,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/22/2022,1,8.3,ug/m3 LC,46,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/25/2022,1,7.3,ug/m3 LC,41,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
11/28/2022,1,2,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/1/2022,1,1.7,ug/m3 LC,9,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/4/2022,1,3.6,ug/m3 LC,20,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/7/2022,1,2,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/10/2022,1,4,ug/m3 LC,22,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/13/2022,1,7.8,ug/m3 LC,43,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/16/2022,1,4.4,ug/m3 LC,24,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/19/2022,1,3.4,ug/m3 LC,19,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/22/2022,1,18.6,ug/m3 LC,69,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/25/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/28/2022,1,14.4,ug/m3 LC,61,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
12/31/2022,1,12.2,ug/m3 LC,57,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/5/2022,2,7.3,ug/m3 LC,41,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/11/2022,2,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/17/2022,2,5.2,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/23/2022,2,11.7,ug/m3 LC,56,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/10/2022,2,8.7,ug/m3 LC,48,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/16/2022,2,12,ug/m3 LC,56,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/22/2022,2,9.2,ug/m3 LC,51,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/28/2022,2,3.9,ug/m3 LC,22,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/6/2022,2,10.3,ug/m3 LC,53,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/12/2022,2,2.9,ug/m3 LC,16,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/24/2022,2,2.3,ug/m3 LC,13,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/30/2022,2,3,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/5/2022,2,5.9,ug/m3 LC,33,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/11/2022,2,1.9,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/17/2022,2,3,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/23/2022,2,3.7,ug/m3 LC,21,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/29/2022,2,3.1,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/5/2022,2,3.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/11/2022,2,6,ug/m3 LC,33,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/17/2022,2,2.8,ug/m3 LC,16,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/23/2022,2,2,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/29/2022,2,5.5,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/4/2022,2,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/10/2022,2,3.8,ug/m3 LC,21,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/16/2022,2,5.5,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/22/2022,2,5.4,ug/m3 LC,30,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/28/2022,2,2.8,ug/m3 LC,16,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/4/2022,2,13.3,ug/m3 LC,59,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/10/2022,2,5.2,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/16/2022,2,7.7,ug/m3 LC,43,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/28/2022,2,9.4,ug/m3 LC,52,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/3/2022,2,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
8/9/2022,2,5.6,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
